month	depth	latitude	longitude	nppv	o2	time
1	0.49402538	21.75	119.25	23.314957	212.11282	2023-01-01
1	0.49402538	21.75	119.5	23.17249	212.24863	2023-01-01
1	0.49402538	21.75	119.75	22.972178	212.45909	2023-01-01
1	0.49402538	21.75	120.0	22.495228	212.43161	2023-01-01
1	0.49402538	21.75	120.25	22.672016	212.42398	2023-01-01
1	0.49402538	21.75	120.5	22.545494	212.23776	2023-01-01
1	0.49402538	21.75	120.75	16.953539	211.30591	2023-01-01
1	0.49402538	21.75	121.0	19.171371	208.87161	2023-01-01
1	0.49402538	21.75	121.25	12.254782	207.84854	2023-01-01
1	0.49402538	21.75	121.5	9.175867	208.08188	2023-01-01
1	0.49402538	21.75	121.75	9.238152	208.69861	2023-01-01
1	0.49402538	21.75	122.0	9.300711	209.21541	2023-01-01
1	0.49402538	21.75	122.25	9.394549	209.43903	2023-01-01
1	0.49402538	21.75	122.5	9.127941	209.53291	2023-01-01
1	0.49402538	21.75	122.75	9.300058	209.68552	2023-01-01
1	0.49402538	21.75	123.0	9.016928	210.00905	2023-01-01
1	0.49402538	22.0	119.25	25.232645	212.32523	2023-01-01
1	0.49402538	22.0	119.5	24.222141	212.18112	2023-01-01
1	0.49402538	22.0	119.75	23.98425	212.09657	2023-01-01
1	0.49402538	22.0	120.0	24.552298	212.10263	2023-01-01
1	0.49402538	22.0	120.25	23.931786	213.07431	2023-01-01
1	0.49402538	22.0	120.5	22.779419	213.28836	2023-01-01
1	0.49402538	22.0	121.0	22.412748	210.26332	2023-01-01
1	0.49402538	22.0	121.25	14.020596	208.24524	2023-01-01
1	0.49402538	22.0	121.5	9.852817	208.4347	2023-01-01
1	0.49402538	22.0	121.75	12.11985	209.2521	2023-01-01
1	0.49402538	22.0	122.0	12.223818	209.73036	2023-01-01
1	0.49402538	22.0	122.25	11.310765	209.89479	2023-01-01
1	0.49402538	22.0	122.5	10.758896	209.9665	2023-01-01
1	0.49402538	22.0	122.75	10.139536	210.55814	2023-01-01
1	0.49402538	22.0	123.0	9.476421	211.23782	2023-01-01
1	0.49402538	22.25	119.25	25.463379	213.15756	2023-01-01
1	0.49402538	22.25	119.5	25.777412	212.26163	2023-01-01
1	0.49402538	22.25	119.75	25.39261	212.0552	2023-01-01
1	0.49402538	22.25	120.0	26.053883	212.57414	2023-01-01
1	0.49402538	22.25	120.25	25.600105	214.07642	2023-01-01
1	0.49402538	22.25	120.5	21.647417	213.66289	2023-01-01
1	0.49402538	22.25	121.0	21.647007	211.10802	2023-01-01
1	0.49402538	22.25	121.25	17.050411	209.11084	2023-01-01
1	0.49402538	22.25	121.5	12.38332	208.71158	2023-01-01
1	0.49402538	22.25	121.75	13.177704	209.01576	2023-01-01
1	0.49402538	22.25	122.0	13.603111	209.67102	2023-01-01
1	0.49402538	22.25	122.25	13.356257	210.13855	2023-01-01
1	0.49402538	22.25	122.5	12.438524	210.72385	2023-01-01
1	0.49402538	22.25	122.75	10.942064	211.3771	2023-01-01
1	0.49402538	22.25	123.0	10.710339	211.71576	2023-01-01
1	0.49402538	22.5	119.25	24.468708	215.42018	2023-01-01
1	0.49402538	22.5	119.5	23.39843	214.30466	2023-01-01
1	0.49402538	22.5	119.75	26.741123	213.89366	2023-01-01
1	0.49402538	22.5	120.0	27.075909	214.14069	2023-01-01
1	0.49402538	22.5	120.25	26.98668	215.16464	2023-01-01
1	0.49402538	22.5	120.5	20.366451	214.36943	2023-01-01
1	0.49402538	22.5	121.0	16.987604	210.89655	2023-01-01
1	0.49402538	22.5	121.25	19.552788	210.02362	2023-01-01
1	0.49402538	22.5	121.5	14.917141	209.2855	2023-01-01
