month	depth	latitude	longitude	nppv	o2	time
1	0.49402538	21.75	119.25	20.218842	208.04799	2026-01-01
1	0.49402538	21.75	119.5	19.40903	207.2288	2026-01-01
1	0.49402538	21.75	119.75	18.287838	206.71173	2026-01-01
1	0.49402538	21.75	120.0	16.56888	206.75357	2026-01-01
1	0.49402538	21.75	120.25	15.944851	206.74551	2026-01-01
1	0.49402538	21.75	120.5	16.660975	206.9555	2026-01-01
1	0.49402538	21.75	120.75	16.530405	207.8877	2026-01-01
1	0.49402538	21.75	121.0	16.456629	207.76306	2026-01-01
1	0.49402538	21.75	121.25	15.664245	207.57523	2026-01-01
1	0.49402538	21.75	121.5	13.530809	207.6293	2026-01-01
1	0.49402538	21.75	121.75	14.173897	207.71597	2026-01-01
1	0.49402538	21.75	122.0	13.118969	208.78282	2026-01-01
1	0.49402538	21.75	122.25	11.578713	210.88263	2026-01-01
1	0.49402538	21.75	122.5	10.784353	211.73293	2026-01-01
1	0.49402538	21.75	122.75	10.5142565	212.49713	2026-01-01
1	0.49402538	21.75	123.0	10.157244	213.40527	2026-01-01
1	0.49402538	22.0	119.25	20.242155	207.44553	2026-01-01
1	0.49402538	22.0	119.5	19.556473	206.76173	2026-01-01
1	0.49402538	22.0	119.75	19.171583	206.49373	2026-01-01
1	0.49402538	22.0	120.0	18.330559	206.68988	2026-01-01
1	0.49402538	22.0	120.25	18.521957	207.18631	2026-01-01
1	0.49402538	22.0	120.5	19.022697	208.53618	2026-01-01
1	0.49402538	22.0	121.0	18.518538	209.30748	2026-01-01
1	0.49402538	22.0	121.25	18.302326	208.3786	2026-01-01
1	0.49402538	22.0	121.5	17.242138	207.81021	2026-01-01
1	0.49402538	22.0	121.75	17.510115	208.05133	2026-01-01
1	0.49402538	22.0	122.0	15.310602	208.19876	2026-01-01
1	0.49402538	22.0	122.25	14.006565	209.78535	2026-01-01
1	0.49402538	22.0	122.5	12.018666	211.03508	2026-01-01
1	0.49402538	22.0	122.75	11.5218935	211.84676	2026-01-01
1	0.49402538	22.0	123.0	11.21059	212.71846	2026-01-01
1	0.49402538	22.25	119.25	20.60052	208.01025	2026-01-01
1	0.49402538	22.25	119.5	20.103987	207.37726	2026-01-01
1	0.49402538	22.25	119.75	20.210783	207.17023	2026-01-01
1	0.49402538	22.25	120.0	20.524063	207.54762	2026-01-01
1	0.49402538	22.25	120.25	20.822731	208.8313	2026-01-01
1	0.49402538	22.25	120.5	20.747948	210.46574	2026-01-01
1	0.49402538	22.25	121.0	18.839708	210.35849	2026-01-01
1	0.49402538	22.25	121.25	19.20456	209.03532	2026-01-01
1	0.49402538	22.25	121.5	17.862104	208.25829	2026-01-01
1	0.49402538	22.25	121.75	17.649948	209.04245	2026-01-01
1	0.49402538	22.25	122.0	17.180054	208.70984	2026-01-01
1	0.49402538	22.25	122.25	16.025572	209.21133	2026-01-01
1	0.49402538	22.25	122.5	13.515941	210.52538	2026-01-01
1	0.49402538	22.25	122.75	12.471028	211.31421	2026-01-01
1	0.49402538	22.25	123.0	11.94546	212.01544	2026-01-01
1	0.49402538	22.5	119.25	20.444628	211.60446	2026-01-01
1	0.49402538	22.5	119.5	21.025852	210.1981	2026-01-01
1	0.49402538	22.5	119.75	21.67661	209.69107	2026-01-01
1	0.49402538	22.5	120.0	22.071735	210.01665	2026-01-01
1	0.49402538	22.5	120.25	22.934448	211.6232	2026-01-01
1	0.49402538	22.5	120.5	22.284863	211.99997	2026-01-01
1	0.49402538	22.5	121.0	19.939426	210.63983	2026-01-01
1	0.49402538	22.5	121.25	19.122963	209.49397	2026-01-01
1	0.49402538	22.5	121.5	19.401054	208.64673	2026-01-01
1	0.49402538	22.5	121.75	18.154903	209.11124	2026-01-01
1	0.49402538	22.5	122.0	17.487171	209.2133	2026-01-01
1	0.49402538	22.5	122.25	16.532925	209.33507	2026-01-01
1	0.49402538	22.5	122.5	14.72454	210.05057	2026-01-01
1	0.49402538	22.5	122.75	13.246642	210.79144	2026-01-01
1	0.49402538	22.5	123.0	12.579226	211.4253	2026-01-01
1	0.49402538	22.75	119.25	20.584242	216.01547	2026-01-01
1	0.49402538	22.75	119.5	22.9846	213.1262	2026-01-01
1	0.49402538	22.75	119.75	23.939907	212.18579	2026-01-01
1	0.49402538	22.75	120.0	26.43023	212.44925	2026-01-01
1	0.49402538	22.75	121.25	20.779894	209.88318	2026-01-01
1	0.49402538	22.75	121.5	20.295729	209.2388	2026-01-01
1	0.49402538	22.75	121.75	19.022545	209.5194	2026-01-01
1	0.49402538	22.75	122.0	18.179602	209.5877	2026-01-01
1	0.49402538	22.75	122.25	16.747667	209.61215	2026-01-01
1	0.49402538	22.75	122.5	15.690205	209.83214	2026-01-01
1	0.49402538	22.75	122.75	14.483899	210.2995	2026-01-01
1	0.49402538	22.75	123.0	13.699523	210.83974	2026-01-01
1	0.49402538	23.0	119.25	23.939434	218.30081	2026-01-01
1	0.49402538	23.0	119.5	27.752806	215.07713	2026-01-01
1	0.49402538	23.0	119.75	26.347565	213.8108	2026-01-01
1	0.49402538	23.0	120.0	34.664608	215.37996	2026-01-01
1	0.49402538	23.0	121.5	18.700481	209.91937	2026-01-01
1	0.49402538	23.0	121.75	18.526472	210.03633	2026-01-01
1	0.49402538	23.0	122.0	18.12267	210.11673	2026-01-01
1	0.49402538	23.0	122.25	17.41258	209.9783	2026-01-01
1	0.49402538	23.0	122.5	16.976501	209.85393	2026-01-01
1	0.49402538	23.0	122.75	15.772379	210.05725	2026-01-01
1	0.49402538	23.0	123.0	14.501749	210.49141	2026-01-01
1	0.49402538	23.25	119.25	25.685888	219.97101	2026-01-01
1	0.49402538	23.25	119.5	22.489496	223.28967	2026-01-01
1	0.49402538	23.25	119.75	28.099146	217.09407	2026-01-01
1	0.49402538	23.25	120.0	31.68608	224.86827	2026-01-01
1	0.49402538	23.25	121.5	19.523195	210.66217	2026-01-01
1	0.49402538	23.25	121.75	18.957747	210.64908	2026-01-01
1	0.49402538	23.25	122.0	18.491116	210.45656	2026-01-01
1	0.49402538	23.25	122.25	18.295424	210.18361	2026-01-01
1	0.49402538	23.25	122.5	17.660038	210.08902	2026-01-01
1	0.49402538	23.25	122.75	16.334482	210.24437	2026-01-01
1	0.49402538	23.25	123.0	14.889356	210.71738	2026-01-01
1	0.49402538	23.5	119.25	20.357246	222.07198	2026-01-01
1	0.49402538	23.5	119.5	28.967516	223.87764	2026-01-01
1	0.49402538	23.5	119.75	34.675564	218.51334	2026-01-01
1	0.49402538	23.5	120.0	26.552036	230.75307	2026-01-01
1	0.49402538	23.5	121.75	19.622221	211.04692	2026-01-01
1	0.49402538	23.5	122.0	18.851765	210.67128	2026-01-01
1	0.49402538	23.5	122.25	17.853815	210.51411	2026-01-01
1	0.49402538	23.5	122.5	17.293137	210.50934	2026-01-01
1	0.49402538	23.5	122.75	16.907675	210.8049	2026-01-01
1	0.49402538	23.5	123.0	15.352661	210.93872	2026-01-01
1	0.49402538	23.75	119.25	20.453478	224.16682	2026-01-01
1	0.49402538	23.75	119.5	31.605576	223.99556	2026-01-01
1	0.49402538	23.75	119.75	30.520174	219.91638	2026-01-01
1	0.49402538	23.75	120.0	24.332195	229.58992	2026-01-01
1	0.49402538	23.75	121.75	20.19862	211.22823	2026-01-01
1	0.49402538	23.75	122.0	18.689339	210.97137	2026-01-01
1	0.49402538	23.75	122.25	17.401579	211.00716	2026-01-01
1	0.49402538	23.75	122.5	17.076363	210.99084	2026-01-01
1	0.49402538	23.75	122.75	16.586882	211.17448	2026-01-01
1	0.49402538	23.75	123.0	15.805907	211.1893	2026-01-01
1	0.49402538	24.0	119.25	20.020773	226.35275	2026-01-01
1	0.49402538	24.0	119.5	26.861216	224.8145	2026-01-01
1	0.49402538	24.0	119.75	34.5479	223.4229	2026-01-01
1	0.49402538	24.0	120.0	29.885647	228.07664	2026-01-01
1	0.49402538	24.0	120.25	24.776041	233.46425	2026-01-01
1	0.49402538	24.0	121.75	18.69685	211.45877	2026-01-01
1	0.49402538	24.0	122.0	17.964556	211.0628	2026-01-01
1	0.49402538	24.0	122.25	16.862913	211.31093	2026-01-01
1	0.49402538	24.0	122.5	16.51736	211.27777	2026-01-01
1	0.49402538	24.0	122.75	16.043648	211.38678	2026-01-01
1	0.49402538	24.0	123.0	15.1821375	211.42148	2026-01-01
1	0.49402538	24.25	119.25	18.735205	228.74907	2026-01-01
1	0.49402538	24.25	119.5	28.600044	229.31662	2026-01-01
1	0.49402538	24.25	119.75	28.915028	231.39868	2026-01-01
1	0.49402538	24.25	120.0	25.90381	231.68839	2026-01-01
1	0.49402538	24.25	120.25	21.864578	233.19836	2026-01-01
1	0.49402538	24.25	121.75	19.779905	211.04036	2026-01-01
1	0.49402538	24.25	122.0	18.283789	210.87979	2026-01-01
1	0.49402538	24.25	122.25	16.42591	211.18236	2026-01-01
1	0.49402538	24.25	122.5	16.00919	211.53792	2026-01-01
1	0.49402538	24.25	122.75	15.748888	211.65512	2026-01-01
1	0.49402538	24.25	123.0	14.257884	211.74812	2026-01-01
1	0.49402538	24.5	119.25	20.555454	233.99379	2026-01-01
1	0.49402538	24.5	119.5	20.457699	232.32852	2026-01-01
1	0.49402538	24.5	119.75	20.452265	234.44919	2026-01-01
1	0.49402538	24.5	120.0	19.89651	235.6428	2026-01-01
1	0.49402538	24.5	120.25	19.543	234.98761	2026-01-01
1	0.49402538	24.5	120.5	18.508078	236.00409	2026-01-01
1	0.49402538	24.5	122.0	21.494022	210.51556	2026-01-01
1	0.49402538	24.5	122.25	16.999846	210.85202	2026-01-01
1	0.49402538	24.5	122.5	15.144915	211.51445	2026-01-01
1	0.49402538	24.5	122.75	14.540316	211.82382	2026-01-01
1	0.49402538	24.5	123.0	14.389854	211.92804	2026-01-01
1	0.49402538	24.75	119.25	22.092722	246.89217	2026-01-01
1	0.49402538	24.75	119.5	20.92495	239.26668	2026-01-01
1	0.49402538	24.75	119.75	20.471159	238.23624	2026-01-01
1	0.49402538	24.75	120.0	18.51337	239.24823	2026-01-01
1	0.49402538	24.75	120.25	17.502338	237.94518	2026-01-01
1	0.49402538	24.75	120.5	17.809656	237.09474	2026-01-01
1	0.49402538	24.75	120.75	21.191595	238.00557	2026-01-01
