month	depth	latitude	longitude	chl	phyc	time
1	0.49402538	21.75	119.25	0.57115376	2.2428885	2023-01-01
1	0.49402538	21.75	119.5	0.5526133	2.2334676	2023-01-01
1	0.49402538	21.75	119.75	0.55684865	2.2555058	2023-01-01
1	0.49402538	21.75	120.0	0.56885743	2.237589	2023-01-01
1	0.49402538	21.75	120.25	0.5705303	2.2386055	2023-01-01
1	0.49402538	21.75	120.5	0.5700443	2.2565358	2023-01-01
1	0.49402538	21.75	120.75	0.5044072	2.0436063	2023-01-01
1	0.49402538	21.75	121.0	0.39410388	1.6739328	2023-01-01
1	0.49402538	21.75	121.25	0.2743453	1.4061763	2023-01-01
1	0.49402538	21.75	121.5	0.23139028	1.2744709	2023-01-01
1	0.49402538	21.75	121.75	0.23784234	1.255125	2023-01-01
1	0.49402538	21.75	122.0	0.24067435	1.2377199	2023-01-01
1	0.49402538	21.75	122.25	0.2372402	1.236752	2023-01-01
1	0.49402538	21.75	122.5	0.22334875	1.2151502	2023-01-01
1	0.49402538	21.75	122.75	0.22487411	1.2330079	2023-01-01
1	0.49402538	21.75	123.0	0.21604717	1.2292213	2023-01-01
1	0.49402538	22.0	119.25	0.6034868	2.3092327	2023-01-01
1	0.49402538	22.0	119.5	0.5822014	2.2443576	2023-01-01
1	0.49402538	22.0	119.75	0.5983148	2.2870615	2023-01-01
1	0.49402538	22.0	120.0	0.61574346	2.3637555	2023-01-01
1	0.49402538	22.0	120.25	0.602877	2.4369462	2023-01-01
1	0.49402538	22.0	120.5	0.57890666	2.372874	2023-01-01
1	0.49402538	22.0	121.0	0.45236155	1.8671796	2023-01-01
1	0.49402538	22.0	121.25	0.30881858	1.4754649	2023-01-01
1	0.49402538	22.0	121.5	0.26103488	1.3339151	2023-01-01
1	0.49402538	22.0	121.75	0.2911899	1.3915632	2023-01-01
1	0.49402538	22.0	122.0	0.29978704	1.365154	2023-01-01
1	0.49402538	22.0	122.25	0.28065705	1.3171313	2023-01-01
1	0.49402538	22.0	122.5	0.26129508	1.2832413	2023-01-01
1	0.49402538	22.0	122.75	0.24277201	1.2689493	2023-01-01
1	0.49402538	22.0	123.0	0.23422274	1.2398248	2023-01-01
1	0.49402538	22.25	119.25	0.6698573	2.4767842	2023-01-01
1	0.49402538	22.25	119.5	0.6263634	2.3362129	2023-01-01
1	0.49402538	22.25	119.75	0.61170065	2.3343914	2023-01-01
1	0.49402538	22.25	120.0	0.6334945	2.490612	2023-01-01
1	0.49402538	22.25	120.25	0.63059497	2.7110934	2023-01-01
1	0.49402538	22.25	120.5	0.5333262	2.5335264	2023-01-01
1	0.49402538	22.25	121.0	0.48089403	1.9867772	2023-01-01
1	0.49402538	22.25	121.25	0.37522838	1.6367537	2023-01-01
1	0.49402538	22.25	121.5	0.31764737	1.4740324	2023-01-01
1	0.49402538	22.25	121.75	0.31177405	1.4628379	2023-01-01
1	0.49402538	22.25	122.0	0.33014873	1.4396033	2023-01-01
1	0.49402538	22.25	122.25	0.32515335	1.3895366	2023-01-01
1	0.49402538	22.25	122.5	0.301042	1.3393768	2023-01-01
1	0.49402538	22.25	122.75	0.26884097	1.2882097	2023-01-01
1	0.49402538	22.25	123.0	0.26447746	1.2720807	2023-01-01
1	0.49402538	22.5	119.25	0.84724706	2.9985373	2023-01-01
1	0.49402538	22.5	119.5	0.72386944	2.6305737	2023-01-01
1	0.49402538	22.5	119.75	0.6663847	2.6077628	2023-01-01
1	0.49402538	22.5	120.0	0.65619093	2.7122102	2023-01-01
1	0.49402538	22.5	120.25	0.6643549	3.1869314	2023-01-01
1	0.49402538	22.5	120.5	0.5589095	3.1560469	2023-01-01
1	0.49402538	22.5	121.0	0.4753848	1.9664273	2023-01-01
1	0.49402538	22.5	121.25	0.4316948	1.797826	2023-01-01
1	0.49402538	22.5	121.5	0.38528413	1.6277606	2023-01-01
1	0.49402538	22.5	121.75	0.36059606	1.5448834	2023-01-01
1	0.49402538	22.5	122.0	0.3458671	1.4614706	2023-01-01
1	0.49402538	22.5	122.25	0.3488694	1.4149008	2023-01-01
1	0.49402538	22.5	122.5	0.3298794	1.3633281	2023-01-01
1	0.49402538	22.5	122.75	0.29948193	1.3102067	2023-01-01
1	0.49402538	22.5	123.0	0.31071526	1.3348613	2023-01-01
1	0.49402538	22.75	119.25	1.2953378	4.3651333	2023-01-01
1	0.49402538	22.75	119.5	0.9058071	3.1462402	2023-01-01
1	0.49402538	22.75	119.75	0.73847955	2.9205873	2023-01-01
1	0.49402538	22.75	120.0	0.79386604	3.2686882	2023-01-01
1	0.49402538	22.75	121.25	0.45069253	1.8573793	2023-01-01
1	0.49402538	22.75	121.5	0.43948406	1.7561208	2023-01-01
1	0.49402538	22.75	121.75	0.42471328	1.6826266	2023-01-01
1	0.49402538	22.75	122.0	0.3812597	1.5317216	2023-01-01
1	0.49402538	22.75	122.25	0.3661583	1.4415454	2023-01-01
1	0.49402538	22.75	122.5	0.34806144	1.3753266	2023-01-01
1	0.49402538	22.75	122.75	0.335028	1.3490112	2023-01-01
1	0.49402538	22.75	123.0	0.36157978	1.4306538	2023-01-01
1	0.49402538	23.0	119.25	1.6403315	5.7216144	2023-01-01
1	0.49402538	23.0	119.5	1.3525014	4.578848	2023-01-01
1	0.49402538	23.0	119.75	0.9710027	3.662942	2023-01-01
1	0.49402538	23.0	120.0	1.0450399	4.4804554	2023-01-01
1	0.49402538	23.0	121.5	0.49185625	1.9147578	2023-01-01
1	0.49402538	23.0	121.75	0.48769367	1.8596599	2023-01-01
1	0.49402538	23.0	122.0	0.42794377	1.6509259	2023-01-01
1	0.49402538	23.0	122.25	0.38635358	1.4817021	2023-01-01
1	0.49402538	23.0	122.5	0.36776865	1.40972	2023-01-01
1	0.49402538	23.0	122.75	0.37546408	1.4405549	2023-01-01
1	0.49402538	23.0	123.0	0.3756662	1.4724011	2023-01-01
1	0.49402538	23.25	119.25	1.7483745	6.4565334	2023-01-01
1	0.49402538	23.25	119.5	1.2953141	5.699398	2023-01-01
1	0.49402538	23.25	119.75	1.3505335	4.8179417	2023-01-01
1	0.49402538	23.25	120.0	1.3909123	7.079303	2023-01-01
1	0.49402538	23.25	121.5	0.51495916	1.9891655	2023-01-01
1	0.49402538	23.25	121.75	0.52966905	1.9857233	2023-01-01
1	0.49402538	23.25	122.0	0.47240847	1.77599	2023-01-01
1	0.49402538	23.25	122.25	0.41277328	1.5471593	2023-01-01
1	0.49402538	23.25	122.5	0.39730492	1.4762259	2023-01-01
1	0.49402538	23.25	122.75	0.38620412	1.4826808	2023-01-01
1	0.49402538	23.25	123.0	0.33920184	1.3759052	2023-01-01
1	0.49402538	23.5	119.25	1.8161621	6.2082596	2023-01-01
1	0.49402538	23.5	119.5	1.6619577	6.8537893	2023-01-01
1	0.49402538	23.5	119.75	1.5187526	5.3208666	2023-01-01
1	0.49402538	23.5	120.0	1.7194524	8.075307	2023-01-01
1	0.49402538	23.5	121.75	0.55090046	2.0473833	2023-01-01
1	0.49402538	23.5	122.0	0.50216925	1.8579613	2023-01-01
1	0.49402538	23.5	122.25	0.44341764	1.6268771	2023-01-01
1	0.49402538	23.5	122.5	0.43166354	1.5655409	2023-01-01
1	0.49402538	23.5	122.75	0.36318308	1.4186552	2023-01-01
1	0.49402538	23.5	123.0	0.30318442	1.2867464	2023-01-01
1	0.49402538	23.75	119.25	1.9740644	6.302368	2023-01-01
1	0.49402538	23.75	119.5	2.2172177	7.1382866	2023-01-01
1	0.49402538	23.75	119.75	1.8502402	6.1338024	2023-01-01
1	0.49402538	23.75	120.0	1.801897	7.267589	2023-01-01
1	0.49402538	23.75	121.75	0.555772	2.0495498	2023-01-01
1	0.49402538	23.75	122.0	0.51939785	1.8993099	2023-01-01
1	0.49402538	23.75	122.25	0.4665952	1.684257	2023-01-01
1	0.49402538	23.75	122.5	0.4374422	1.5935898	2023-01-01
1	0.49402538	23.75	122.75	0.33780974	1.3436049	2023-01-01
1	0.49402538	23.75	123.0	0.28734785	1.2561172	2023-01-01
1	0.49402538	24.0	119.25	1.8730929	5.9322176	2023-01-01
1	0.49402538	24.0	119.5	2.1567986	6.863648	2023-01-01
1	0.49402538	24.0	119.75	2.2062898	7.405547	2023-01-01
1	0.49402538	24.0	120.0	2.100856	7.7245784	2023-01-01
1	0.49402538	24.0	120.25	1.8662155	7.931801	2023-01-01
1	0.49402538	24.0	121.75	0.542245	2.0076456	2023-01-01
1	0.49402538	24.0	122.0	0.531304	1.9273467	2023-01-01
1	0.49402538	24.0	122.25	0.47738457	1.7067497	2023-01-01
1	0.49402538	24.0	122.5	0.4246418	1.5501664	2023-01-01
1	0.49402538	24.0	122.75	0.31801355	1.2836612	2023-01-01
1	0.49402538	24.0	123.0	0.2832846	1.2543535	2023-01-01
1	0.49402538	24.25	119.25	1.8520575	5.9740677	2023-01-01
1	0.49402538	24.25	119.5	2.1588984	7.2456594	2023-01-01
1	0.49402538	24.25	119.75	2.2370882	7.6530304	2023-01-01
1	0.49402538	24.25	120.0	2.2282102	7.712504	2023-01-01
1	0.49402538	24.25	120.25	2.0944707	7.5064235	2023-01-01
1	0.49402538	24.25	121.75	0.5391397	1.9555823	2023-01-01
