month	depth	latitude	longitude	fe	no3	po4	si	time
10	0.49402538	22.5	122.0	7.261328e-05	0.0047113188	0.012447616	0.5943039	2021-10-01
10	0.49402538	22.5	122.25	6.1887324e-05	0.0014085224	0.011298008	0.5945069	2021-10-01
10	0.49402538	22.5	122.5	5.773001e-05	0.00075859897	0.010985824	0.5986288	2021-10-01
10	0.49402538	22.5	122.75	5.6673798e-05	0.0007000254	0.010861219	0.6004792	2021-10-01
10	0.49402538	22.5	123.0	5.5544726e-05	0.0006645784	0.010725646	0.6021554	2021-10-01
10	0.49402538	22.75	119.25	0.0001422443	0.002945546	0.011189635	0.5403257	2021-10-01
10	0.49402538	22.75	119.5	0.00012619562	0.0025341543	0.011102313	0.53971446	2021-10-01
10	0.49402538	22.75	119.75	0.00011551978	0.0019333697	0.011790564	0.5614433	2021-10-01
10	0.49402538	22.75	120.0	0.00012511571	0.0027147275	0.011604371	0.56505775	2021-10-01
10	0.49402538	22.75	121.25	0.00015476695	0.01257297	0.012680688	0.5978896	2021-10-01
10	0.49402538	22.75	121.5	0.000109276116	0.011349458	0.012996047	0.6012417	2021-10-01
10	0.49402538	22.75	121.75	8.8577e-05	0.012101926	0.013123978	0.6084853	2021-10-01
10	0.49402538	22.75	122.0	7.323103e-05	0.009852829	0.012815511	0.60472393	2021-10-01
10	0.49402538	22.75	122.25	6.247309e-05	0.0041023344	0.011701676	0.5982972	2021-10-01
10	0.49402538	22.75	122.5	5.839906e-05	0.0010592224	0.011049361	0.5984908	2021-10-01
10	0.49402538	22.75	122.75	5.729605e-05	0.00074812316	0.010933295	0.60029835	2021-10-01
10	0.49402538	22.75	123.0	5.6681496e-05	0.0006983403	0.010856748	0.6018867	2021-10-01
10	0.49402538	23.0	119.25	0.00016301229	0.0037878347	0.01124402	0.53828555	2021-10-01
10	0.49402538	23.0	119.5	0.00014024547	0.0034198605	0.011270981	0.5375246	2021-10-01
10	0.49402538	23.0	119.75	0.00012721514	0.0019547814	0.011283524	0.552578	2021-10-01
10	0.49402538	23.0	120.0	0.00018362608	0.003910279	0.010799022	0.5417839	2021-10-01
10	0.49402538	23.0	121.5	0.00013745918	0.0073383413	0.012308778	0.5940678	2021-10-01
10	0.49402538	23.0	121.75	9.20115e-05	0.010243677	0.012895283	0.6080553	2021-10-01
10	0.49402538	23.0	122.0	7.2593124e-05	0.010963703	0.012861928	0.61108726	2021-10-01
10	0.49402538	23.0	122.25	6.145899e-05	0.0071101747	0.01210663	0.60563654	2021-10-01
10	0.49402538	23.0	122.5	5.819355e-05	0.0022066333	0.011210856	0.60054684	2021-10-01
10	0.49402538	23.0	122.75	5.763093e-05	0.00084969774	0.010925971	0.60051036	2021-10-01
10	0.49402538	23.0	123.0	5.733597e-05	0.00074632	0.010895357	0.6015332	2021-10-01
10	0.49402538	23.25	119.25	0.0001864921	0.0033658487	0.011226191	0.54206765	2021-10-01
10	0.49402538	23.25	119.5	0.00028388225	0.0048058024	0.012286409	0.56875503	2021-10-01
10	0.49402538	23.25	119.75	0.00016164458	0.002566061	0.010658355	0.5285337	2021-10-01
10	0.49402538	23.25	120.0	0.00040015503	0.008309845	0.0062610228	0.55596006	2021-10-01
10	0.49402538	23.25	121.5	0.0001790544	0.006242748	0.011749967	0.59323764	2021-10-01
10	0.49402538	23.25	121.75	0.000108344546	0.0080563715	0.012541977	0.6036759	2021-10-01
10	0.49402538	23.25	122.0	7.460648e-05	0.009936135	0.01272217	0.6118558	2021-10-01
10	0.49402538	23.25	122.25	5.946363e-05	0.00767266	0.012233356	0.60987914	2021-10-01
10	0.49402538	23.25	122.5	5.716036e-05	0.0037071283	0.011423267	0.6049291	2021-10-01
10	0.49402538	23.25	122.75	5.7315152e-05	0.0012413445	0.0109579675	0.6020863	2021-10-01
10	0.49402538	23.25	123.0	5.7428806e-05	0.0008546131	0.010807823	0.6019559	2021-10-01
10	0.49402538	23.5	119.25	0.000234332	0.0028961394	0.009358315	0.59197855	2021-10-01
10	0.49402538	23.5	119.5	0.00029984917	0.0045714146	0.009665762	0.56652415	2021-10-01
10	0.49402538	23.5	119.75	0.0001989053	0.077320755	0.016713215	0.5871852	2021-10-01
10	0.49402538	23.5	120.0	0.00037103225	0.033286527	0.009832568	0.5838794	2021-10-01
10	0.49402538	23.5	121.75	0.00013938702	0.0072602555	0.012103692	0.60305345	2021-10-01
10	0.49402538	23.5	122.0	8.3844214e-05	0.008893741	0.012557142	0.61026484	2021-10-01
10	0.49402538	23.5	122.25	5.9558082e-05	0.006947295	0.012209358	0.60955656	2021-10-01
10	0.49402538	23.5	122.5	5.5826607e-05	0.003765393	0.011526202	0.60634285	2021-10-01
10	0.49402538	23.5	122.75	5.6119658e-05	0.0017425675	0.011046101	0.60376024	2021-10-01
10	0.49402538	23.5	123.0	5.661251e-05	0.0009918549	0.010792751	0.60275024	2021-10-01
10	0.49402538	23.75	119.25	0.00024374318	0.0032973175	0.008769598	0.63094664	2021-10-01
10	0.49402538	23.75	119.5	0.0002485101	0.028230332	0.012046684	0.6099355	2021-10-01
10	0.49402538	23.75	119.75	0.00021869158	0.101534866	0.019144706	0.6327116	2021-10-01
10	0.49402538	23.75	120.0	0.00037953953	0.026835252	0.00876745	0.572714	2021-10-01
10	0.49402538	23.75	121.75	0.00017581237	0.0053973566	0.011571395	0.5978916	2021-10-01
10	0.49402538	23.75	122.0	0.00010264801	0.0085548675	0.012446659	0.6079059	2021-10-01
10	0.49402538	23.75	122.25	6.49011e-05	0.007157409	0.01225258	0.60795957	2021-10-01
10	0.49402538	23.75	122.5	5.5261986e-05	0.0033307679	0.011567013	0.60547495	2021-10-01
10	0.49402538	23.75	122.75	5.5497432e-05	0.0016081333	0.01106456	0.60339683	2021-10-01
10	0.49402538	23.75	123.0	5.5984572e-05	0.0010462012	0.0107739065	0.60255146	2021-10-01
10	0.49402538	24.0	119.25	0.00023005625	0.010510189	0.009773288	0.64057434	2021-10-01
10	0.49402538	24.0	119.5	0.00020194417	0.05236727	0.016089445	0.5841165	2021-10-01
10	0.49402538	24.0	119.75	0.00021088227	0.060768552	0.016643606	0.5863286	2021-10-01
10	0.49402538	24.0	120.0	0.0002885775	0.03388265	0.012901616	0.5801736	2021-10-01
