month	depth	latitude	longitude	chl	phyc	time
1	0.49402538	21.75	119.25	0.43583676	1.5267978	2025-01-01
1	0.49402538	21.75	119.5	0.42368528	1.4847621	2025-01-01
1	0.49402538	21.75	119.75	0.41309497	1.4618831	2025-01-01
1	0.49402538	21.75	120.0	0.4223327	1.4969418	2025-01-01
1	0.49402538	21.75	120.25	0.44457418	1.5625025	2025-01-01
1	0.49402538	21.75	120.5	0.46838927	1.6301452	2025-01-01
1	0.49402538	21.75	120.75	0.46732718	1.7074125	2025-01-01
1	0.49402538	21.75	121.0	0.47482628	1.7245973	2025-01-01
1	0.49402538	21.75	121.25	0.48070657	1.7365087	2025-01-01
1	0.49402538	21.75	121.5	0.46326938	1.6577445	2025-01-01
1	0.49402538	21.75	121.75	0.4262373	1.5078578	2025-01-01
1	0.49402538	21.75	122.0	0.3976025	1.4148554	2025-01-01
1	0.49402538	21.75	122.25	0.3759995	1.379437	2025-01-01
1	0.49402538	21.75	122.5	0.36045957	1.3617725	2025-01-01
1	0.49402538	21.75	122.75	0.35630584	1.3674265	2025-01-01
1	0.49402538	21.75	123.0	0.35591084	1.3616893	2025-01-01
1	0.49402538	22.0	119.25	0.5082831	1.7714729	2025-01-01
1	0.49402538	22.0	119.5	0.4972107	1.7346873	2025-01-01
1	0.49402538	22.0	119.75	0.49675003	1.7447702	2025-01-01
1	0.49402538	22.0	120.0	0.4990863	1.7625017	2025-01-01
1	0.49402538	22.0	120.25	0.5060238	1.7933638	2025-01-01
1	0.49402538	22.0	120.5	0.49487436	1.8117914	2025-01-01
1	0.49402538	22.0	121.0	0.505382	1.7737875	2025-01-01
1	0.49402538	22.0	121.25	0.5137951	1.8342966	2025-01-01
1	0.49402538	22.0	121.5	0.5167513	1.846496	2025-01-01
1	0.49402538	22.0	121.75	0.4842226	1.7047565	2025-01-01
1	0.49402538	22.0	122.0	0.4394643	1.5476487	2025-01-01
1	0.49402538	22.0	122.25	0.39680085	1.4316038	2025-01-01
1	0.49402538	22.0	122.5	0.3689955	1.376318	2025-01-01
1	0.49402538	22.0	122.75	0.36164963	1.37286	2025-01-01
1	0.49402538	22.0	123.0	0.3719616	1.3966751	2025-01-01
1	0.49402538	22.25	119.25	0.5778025	2.046329	2025-01-01
1	0.49402538	22.25	119.5	0.5886652	2.1228104	2025-01-01
1	0.49402538	22.25	119.75	0.5878379	2.1679986	2025-01-01
1	0.49402538	22.25	120.0	0.5743775	2.1464336	2025-01-01
1	0.49402538	22.25	120.25	0.5482938	2.0816991	2025-01-01
1	0.49402538	22.25	120.5	0.47652397	2.01075	2025-01-01
1	0.49402538	22.25	121.0	0.52068835	1.8021189	2025-01-01
1	0.49402538	22.25	121.25	0.5427259	1.8898344	2025-01-01
1	0.49402538	22.25	121.5	0.5663409	1.9763253	2025-01-01
1	0.49402538	22.25	121.75	0.5328367	1.853569	2025-01-01
1	0.49402538	22.25	122.0	0.4797146	1.6753953	2025-01-01
1	0.49402538	22.25	122.25	0.42204133	1.5053537	2025-01-01
1	0.49402538	22.25	122.5	0.37734392	1.3843524	2025-01-01
1	0.49402538	22.25	122.75	0.3639212	1.3623289	2025-01-01
1	0.49402538	22.25	123.0	0.3800669	1.4124409	2025-01-01
1	0.49402538	22.5	119.25	0.6207677	2.2695575	2025-01-01
1	0.49402538	22.5	119.5	0.6131654	2.3910995	2025-01-01
1	0.49402538	22.5	119.75	0.6014926	2.4292035	2025-01-01
1	0.49402538	22.5	120.0	0.5784005	2.3550901	2025-01-01
1	0.49402538	22.5	120.25	0.5410189	2.2748625	2025-01-01
1	0.49402538	22.5	120.5	0.43376932	2.1361685	2025-01-01
1	0.49402538	22.5	121.0	0.5812913	2.043826	2025-01-01
1	0.49402538	22.5	121.25	0.5641259	1.9403579	2025-01-01
