month	depth	latitude	longitude	nppv	o2	time
1	0.49402538	21.75	119.25	15.105388	208.11252	2025-01-01
1	0.49402538	21.75	119.5	14.579387	208.24155	2025-01-01
1	0.49402538	21.75	119.75	13.634232	208.4429	2025-01-01
1	0.49402538	21.75	120.0	14.140578	208.61519	2025-01-01
1	0.49402538	21.75	120.25	14.43789	208.76903	2025-01-01
1	0.49402538	21.75	120.5	14.680971	209.22906	2025-01-01
1	0.49402538	21.75	120.75	12.6793375	210.68784	2025-01-01
1	0.49402538	21.75	121.0	13.666732	211.98303	2025-01-01
1	0.49402538	21.75	121.25	14.29575	212.33644	2025-01-01
1	0.49402538	21.75	121.5	13.85498	211.69344	2025-01-01
1	0.49402538	21.75	121.75	12.216514	210.62881	2025-01-01
1	0.49402538	21.75	122.0	11.129878	209.9273	2025-01-01
1	0.49402538	21.75	122.25	10.553028	210.3406	2025-01-01
1	0.49402538	21.75	122.5	9.721281	211.26099	2025-01-01
1	0.49402538	21.75	122.75	9.323978	211.39783	2025-01-01
1	0.49402538	21.75	123.0	9.101268	211.2469	2025-01-01
1	0.49402538	22.0	119.25	18.0684	209.07864	2025-01-01
1	0.49402538	22.0	119.5	18.163475	209.1333	2025-01-01
1	0.49402538	22.0	119.75	18.195545	209.34265	2025-01-01
1	0.49402538	22.0	120.0	17.706411	209.48589	2025-01-01
1	0.49402538	22.0	120.25	17.22695	209.88478	2025-01-01
1	0.49402538	22.0	120.5	16.583042	211.12257	2025-01-01
1	0.49402538	22.0	121.0	12.599697	212.78752	2025-01-01
1	0.49402538	22.0	121.25	14.22131	212.98901	2025-01-01
1	0.49402538	22.0	121.5	15.735908	212.61977	2025-01-01
1	0.49402538	22.0	121.75	14.771783	211.66527	2025-01-01
1	0.49402538	22.0	122.0	12.872775	210.57883	2025-01-01
1	0.49402538	22.0	122.25	11.061011	210.31178	2025-01-01
1	0.49402538	22.0	122.5	9.89861	210.88309	2025-01-01
1	0.49402538	22.0	122.75	9.324474	211.07652	2025-01-01
1	0.49402538	22.0	123.0	9.262598	210.89505	2025-01-01
1	0.49402538	22.25	119.25	19.178831	212.80199	2025-01-01
1	0.49402538	22.25	119.5	21.306355	213.05449	2025-01-01
1	0.49402538	22.25	119.75	21.58475	213.27353	2025-01-01
1	0.49402538	22.25	120.0	20.647125	213.01888	2025-01-01
1	0.49402538	22.25	120.25	19.507833	212.87056	2025-01-01
1	0.49402538	22.25	120.5	18.036327	213.77582	2025-01-01
1	0.49402538	22.25	121.0	12.848966	212.48987	2025-01-01
1	0.49402538	22.25	121.25	14.192243	212.61372	2025-01-01
1	0.49402538	22.25	121.5	16.022066	212.49515	2025-01-01
1	0.49402538	22.25	121.75	15.160813	212.052	2025-01-01
1	0.49402538	22.25	122.0	13.313127	211.17241	2025-01-01
1	0.49402538	22.25	122.25	11.748588	210.55466	2025-01-01
1	0.49402538	22.25	122.5	9.753137	210.42938	2025-01-01
1	0.49402538	22.25	122.75	9.053779	210.64638	2025-01-01
1	0.49402538	22.25	123.0	9.305001	210.8091	2025-01-01
1	0.49402538	22.5	119.25	17.488247	217.46674	2025-01-01
1	0.49402538	22.5	119.5	21.137383	217.70934	2025-01-01
1	0.49402538	22.5	119.75	20.869694	217.60916	2025-01-01
1	0.49402538	22.5	120.0	20.758825	216.31354	2025-01-01
1	0.49402538	22.5	120.25	21.77976	215.09209	2025-01-01
1	0.49402538	22.5	120.5	18.95228	215.42682	2025-01-01
1	0.49402538	22.5	121.0	17.369497	212.77612	2025-01-01
1	0.49402538	22.5	121.25	14.276962	212.49033	2025-01-01
1	0.49402538	22.5	121.5	16.382092	212.3436	2025-01-01
1	0.49402538	22.5	121.75	15.265381	211.98517	2025-01-01
1	0.49402538	22.5	122.0	13.386169	211.41522	2025-01-01
1	0.49402538	22.5	122.25	11.603323	210.6591	2025-01-01
1	0.49402538	22.5	122.5	9.618964	210.14381	2025-01-01
1	0.49402538	22.5	122.75	9.001745	210.28271	2025-01-01
1	0.49402538	22.5	123.0	8.926051	210.6134	2025-01-01
1	0.49402538	22.75	119.25	20.94165	218.0994	2025-01-01
1	0.49402538	22.75	119.5	20.456701	217.61261	2025-01-01
1	0.49402538	22.75	119.75	20.826357	217.31427	2025-01-01
1	0.49402538	22.75	120.0	20.449024	216.5365	2025-01-01
1	0.49402538	22.75	121.25	17.407722	212.85641	2025-01-01
1	0.49402538	22.75	121.5	16.041254	212.53157	2025-01-01
1	0.49402538	22.75	121.75	15.000566	212.02426	2025-01-01
1	0.49402538	22.75	122.0	13.515069	211.4689	2025-01-01
1	0.49402538	22.75	122.25	11.548267	210.63045	2025-01-01
1	0.49402538	22.75	122.5	9.916931	209.95262	2025-01-01
1	0.49402538	22.75	122.75	9.241077	210.07669	2025-01-01
1	0.49402538	22.75	123.0	9.0934725	210.37831	2025-01-01
1	0.49402538	23.0	119.25	24.057505	220.10313	2025-01-01
1	0.49402538	23.0	119.5	22.795582	218.13953	2025-01-01
1	0.49402538	23.0	119.75	20.14497	217.07503	2025-01-01
1	0.49402538	23.0	120.0	22.184801	218.3034	2025-01-01
1	0.49402538	23.0	121.5	14.775739	212.626	2025-01-01
1	0.49402538	23.0	121.75	15.037038	211.87381	2025-01-01
1	0.49402538	23.0	122.0	13.769295	211.33908	2025-01-01
1	0.49402538	23.0	122.25	12.007754	210.51743	2025-01-01
1	0.49402538	23.0	122.5	10.493051	209.87564	2025-01-01
1	0.49402538	23.0	122.75	9.752275	210.04036	2025-01-01
1	0.49402538	23.0	123.0	9.467255	210.4451	2025-01-01
1	0.49402538	23.25	119.25	23.497557	223.31761	2025-01-01
1	0.49402538	23.25	119.5	19.299442	228.81	2025-01-01
1	0.49402538	23.25	119.75	20.60693	219.39102	2025-01-01
1	0.49402538	23.25	120.0	26.383278	231.97752	2025-01-01
1	0.49402538	23.25	121.5	16.021196	212.32509	2025-01-01
1	0.49402538	23.25	121.75	14.819721	211.68375	2025-01-01
1	0.49402538	23.25	122.0	13.854008	211.19748	2025-01-01
1	0.49402538	23.25	122.25	12.528	210.52298	2025-01-01
1	0.49402538	23.25	122.5	11.404374	210.14507	2025-01-01
1	0.49402538	23.25	122.75	10.490883	210.42154	2025-01-01
1	0.49402538	23.25	123.0	8.971973	210.85736	2025-01-01
1	0.49402538	23.5	119.25	18.398073	227.63235	2025-01-01
1	0.49402538	23.5	119.5	23.228735	228.54184	2025-01-01
1	0.49402538	23.5	119.75	25.995867	220.86209	2025-01-01
1	0.49402538	23.5	120.0	28.464867	238.74924	2025-01-01
1	0.49402538	23.5	121.75	14.751728	211.62004	2025-01-01
1	0.49402538	23.5	122.0	14.270811	211.14731	2025-01-01
1	0.49402538	23.5	122.25	13.151631	210.84274	2025-01-01
1	0.49402538	23.5	122.5	11.4775095	210.75302	2025-01-01
1	0.49402538	23.5	122.75	9.795214	210.9451	2025-01-01
1	0.49402538	23.5	123.0	8.790056	211.28117	2025-01-01
1	0.49402538	23.75	119.25	18.49828	230.0664	2025-01-01
1	0.49402538	23.75	119.5	24.125668	227.22575	2025-01-01
1	0.49402538	23.75	119.75	21.91985	223.62486	2025-01-01
1	0.49402538	23.75	120.0	25.348621	235.8208	2025-01-01
1	0.49402538	23.75	121.75	15.151558	211.68921	2025-01-01
1	0.49402538	23.75	122.0	14.7472725	211.11644	2025-01-01
1	0.49402538	23.75	122.25	12.9799795	211.11375	2025-01-01
1	0.49402538	23.75	122.5	11.038315	211.12485	2025-01-01
1	0.49402538	23.75	122.75	9.558981	211.32423	2025-01-01
1	0.49402538	23.75	123.0	8.857262	211.64171	2025-01-01
1	0.49402538	24.0	119.25	18.131533	231.1937	2025-01-01
1	0.49402538	24.0	119.5	20.739027	229.21179	2025-01-01
1	0.49402538	24.0	119.75	24.900015	229.69725	2025-01-01
1	0.49402538	24.0	120.0	25.22434	234.86427	2025-01-01
1	0.49402538	24.0	120.25	20.419859	241.31581	2025-01-01
1	0.49402538	24.0	121.75	14.977165	211.90228	2025-01-01
1	0.49402538	24.0	122.0	14.830275	210.977	2025-01-01
1	0.49402538	24.0	122.25	13.316935	211.02856	2025-01-01
1	0.49402538	24.0	122.5	10.931512	211.28554	2025-01-01
1	0.49402538	24.0	122.75	9.940339	211.62538	2025-01-01
1	0.49402538	24.0	123.0	9.226748	211.99634	2025-01-01
1	0.49402538	24.25	119.25	18.061096	233.958	2025-01-01
1	0.49402538	24.25	119.5	22.377968	236.09442	2025-01-01
1	0.49402538	24.25	119.75	22.78632	241.25728	2025-01-01
1	0.49402538	24.25	120.0	20.194836	241.44643	2025-01-01
1	0.49402538	24.25	120.25	15.738365	241.87001	2025-01-01
1	0.49402538	24.25	121.75	15.911329	211.26578	2025-01-01
1	0.49402538	24.25	122.0	14.825689	210.90152	2025-01-01
1	0.49402538	24.25	122.25	12.724813	210.80096	2025-01-01
1	0.49402538	24.25	122.5	10.92773	211.45267	2025-01-01
1	0.49402538	24.25	122.75	9.901741	211.83737	2025-01-01
1	0.49402538	24.25	123.0	9.413842	212.31903	2025-01-01
1	0.49402538	24.5	119.25	22.408178	240.79582	2025-01-01
