month	depth	latitude	longitude	chl	phyc	time
1	0.49402538	23.25	122.25	0.41016027	1.610665	2022-01-01
1	0.49402538	23.25	122.5	0.41625863	1.5884142	2022-01-01
1	0.49402538	23.25	122.75	0.43231338	1.5692999	2022-01-01
1	0.49402538	23.25	123.0	0.4229051	1.5168607	2022-01-01
1	0.49402538	23.5	119.25	1.1783735	4.4615335	2022-01-01
1	0.49402538	23.5	119.5	1.2021233	5.315236	2022-01-01
1	0.49402538	23.5	119.75	0.97874224	3.537262	2022-01-01
1	0.49402538	23.5	120.0	1.6733947	7.7667465	2022-01-01
1	0.49402538	23.5	121.75	0.45634198	1.7150003	2022-01-01
1	0.49402538	23.5	122.0	0.4317439	1.6793277	2022-01-01
1	0.49402538	23.5	122.25	0.4169517	1.6584167	2022-01-01
1	0.49402538	23.5	122.5	0.4397544	1.6557287	2022-01-01
1	0.49402538	23.5	122.75	0.45022804	1.6312184	2022-01-01
1	0.49402538	23.5	123.0	0.4382277	1.5950356	2022-01-01
1	0.49402538	23.75	119.25	1.4503922	4.9288015	2022-01-01
1	0.49402538	23.75	119.5	1.7642794	6.008061	2022-01-01
1	0.49402538	23.75	119.75	1.4720403	4.7599964	2022-01-01
1	0.49402538	23.75	120.0	1.9025851	7.3110447	2022-01-01
1	0.49402538	23.75	121.75	0.4609924	1.7276286	2022-01-01
1	0.49402538	23.75	122.0	0.433884	1.6906316	2022-01-01
1	0.49402538	23.75	122.25	0.4283816	1.702019	2022-01-01
1	0.49402538	23.75	122.5	0.45814928	1.7143055	2022-01-01
1	0.49402538	23.75	122.75	0.46157226	1.6835952	2022-01-01
1	0.49402538	23.75	123.0	0.4569754	1.6590148	2022-01-01
1	0.49402538	24.0	119.25	1.7785445	5.555999	2022-01-01
1	0.49402538	24.0	119.5	2.3182948	6.801565	2022-01-01
1	0.49402538	24.0	119.75	2.260097	6.9891453	2022-01-01
1	0.49402538	24.0	120.0	2.2935686	7.8326883	2022-01-01
1	0.49402538	24.0	120.25	1.8387914	7.6104145	2022-01-01
1	0.49402538	24.0	121.75	0.4691314	1.802858	2022-01-01
1	0.49402538	24.0	122.0	0.43879747	1.6869425	2022-01-01
1	0.49402538	24.0	122.25	0.43108043	1.7044961	2022-01-01
1	0.49402538	24.0	122.5	0.46319988	1.7218323	2022-01-01
1	0.49402538	24.0	122.75	0.46158966	1.6722202	2022-01-01
1	0.49402538	24.0	123.0	0.46243262	1.6956493	2022-01-01
1	0.49402538	24.25	119.25	1.860526	5.789033	2022-01-01
1	0.49402538	24.25	119.5	2.4621575	7.6143374	2022-01-01
1	0.49402538	24.25	119.75	2.1273975	7.3536067	2022-01-01
1	0.49402538	24.25	120.0	1.9421122	7.0045195	2022-01-01
1	0.49402538	24.25	120.25	1.7486172	6.536009	2022-01-01
1	0.49402538	24.25	121.75	0.48083284	1.7973474	2022-01-01
1	0.49402538	24.25	122.0	0.4658765	1.7433594	2022-01-01
1	0.49402538	24.25	122.25	0.43154687	1.6704865	2022-01-01
1	0.49402538	24.25	122.5	0.45159912	1.6849554	2022-01-01
1	0.49402538	24.25	122.75	0.45351535	1.6482751	2022-01-01
1	0.49402538	24.25	123.0	0.45088932	1.6855514	2022-01-01
1	0.49402538	24.5	119.25	1.7000847	5.6991835	2022-01-01
1	0.49402538	24.5	119.5	2.0450935	6.445078	2022-01-01
1	0.49402538	24.5	119.75	1.918652	6.419913	2022-01-01
1	0.49402538	24.5	120.0	1.7424006	6.0915136	2022-01-01
1	0.49402538	24.5	120.25	1.6236216	5.779281	2022-01-01
1	0.49402538	24.5	120.5	1.5607913	5.989567	2022-01-01
1	0.49402538	24.5	122.0	0.47190523	1.7403631	2022-01-01
1	0.49402538	24.5	122.25	0.44743156	1.6819854	2022-01-01
1	0.49402538	24.5	122.5	0.44166467	1.6583089	2022-01-01
1	0.49402538	24.5	122.75	0.4432299	1.6251847	2022-01-01
1	0.49402538	24.5	123.0	0.43378633	1.6351966	2022-01-01
1	0.49402538	24.75	119.25	1.7557501	6.8166285	2022-01-01
1	0.49402538	24.75	119.5	1.8521426	6.4035335	2022-01-01
1	0.49402538	24.75	119.75	1.8422701	6.270991	2022-01-01
1	0.49402538	24.75	120.0	1.7016053	5.9807825	2022-01-01
1	0.49402538	24.75	120.25	1.5742971	5.588785	2022-01-01
1	0.49402538	24.75	120.5	1.5322452	5.4115553	2022-01-01
1	0.49402538	24.75	120.75	1.4749595	5.6870723	2022-01-01
1	0.49402538	24.75	122.0	0.5212815	1.939184	2022-01-01
1	0.49402538	24.75	122.25	0.47801882	1.7388356	2022-01-01
1	0.49402538	24.75	122.5	0.44907552	1.6602488	2022-01-01
1	0.49402538	24.75	122.75	0.43121505	1.5949079	2022-01-01
1	0.49402538	24.75	123.0	0.42861477	1.5860462	2022-01-01
1	0.49402538	25.0	119.25	1.679762	7.9539685	2022-01-01
1	0.49402538	25.0	119.5	1.7351205	7.06298	2022-01-01
1	0.49402538	25.0	119.75	1.7566516	6.4286733	2022-01-01
1	0.49402538	25.0	120.0	1.7163476	6.1137824	2022-01-01
1	0.49402538	25.0	120.25	1.7124536	6.049326	2022-01-01
1	0.49402538	25.0	120.5	1.6360444	5.6545258	2022-01-01
1	0.49402538	25.0	120.75	1.4938557	5.255812	2022-01-01
1	0.49402538	25.0	122.0	0.75021815	2.7410884	2022-01-01
1	0.49402538	25.0	122.25	0.5667193	2.017673	2022-01-01
1	0.49402538	25.0	122.5	0.4786765	1.7212126	2022-01-01
1	0.49402538	25.0	122.75	0.43537748	1.5981688	2022-01-01
1	0.49402538	25.0	123.0	0.42183614	1.5429968	2022-01-01
1	0.49402538	25.25	119.25	1.7265345	9.390446	2022-01-01
1	0.49402538	25.25	119.5	1.5772032	7.7592	2022-01-01
1	0.49402538	25.25	119.75	1.680413	6.7468104	2022-01-01
1	0.49402538	25.25	120.0	1.7423041	6.229658	2022-01-01
1	0.49402538	25.25	120.25	1.804846	6.263683	2022-01-01
1	0.49402538	25.25	120.5	1.7370143	5.837319	2022-01-01
1	0.49402538	25.25	120.75	1.5361216	5.2006	2022-01-01
1	0.49402538	25.25	121.0	1.4976577	5.1350036	2022-01-01
1	0.49402538	25.25	121.25	1.5258857	5.3547115	2022-01-01
1	0.49402538	25.25	121.5	1.3446813	5.4218063	2022-01-01
1	0.49402538	25.25	121.75	1.3272911	4.7321844	2022-01-01
1	0.49402538	25.25	122.0	1.0686619	3.8675227	2022-01-01
1	0.49402538	25.25	122.25	0.7315233	2.6121793	2022-01-01
1	0.49402538	25.25	122.5	0.5421623	1.9077948	2022-01-01
1	0.49402538	25.25	122.75	0.46488446	1.6567302	2022-01-01
1	0.49402538	25.25	123.0	0.43100268	1.540225	2022-01-01
1	0.49402538	25.5	119.75	1.7252977	7.554903	2022-01-01
1	0.49402538	25.5	120.0	1.7149252	6.211839	2022-01-01
1	0.49402538	25.5	120.25	1.8874941	6.240807	2022-01-01
1	0.49402538	25.5	120.5	1.74785	5.6028767	2022-01-01
1	0.49402538	25.5	120.75	1.5055897	4.970112	2022-01-01
1	0.49402538	25.5	121.0	1.4591215	4.9227324	2022-01-01
1	0.49402538	25.5	121.25	1.5003209	4.94798	2022-01-01
1	0.49402538	25.5	121.5	1.4395515	4.810848	2022-01-01
1	0.49402538	25.5	121.75	1.2027801	4.3605394	2022-01-01
1	0.49402538	25.5	122.0	1.0105584	3.755611	2022-01-01
1	0.49402538	25.5	122.25	0.771187	2.7785654	2022-01-01
1	0.49402538	25.5	122.5	0.5918006	2.0615182	2022-01-01
1	0.49402538	25.5	122.75	0.49945486	1.7224431	2022-01-01
1	0.49402538	25.5	123.0	0.4576968	1.571507	2022-01-01
1	1.5413754	21.75	119.25	0.38118473	1.5587099	2022-01-01
1	1.5413754	21.75	119.5	0.36140886	1.5027537	2022-01-01
1	1.5413754	21.75	119.75	0.35012627	1.4691417	2022-01-01
1	1.5413754	21.75	120.0	0.352399	1.4578713	2022-01-01
1	1.5413754	21.75	120.25	0.36483574	1.4746575	2022-01-01
1	1.5413754	21.75	120.5	0.37930608	1.4987891	2022-01-01
1	1.5413754	21.75	120.75	0.3416298	1.3948014	2022-01-01
1	1.5413754	21.75	121.0	0.28962624	1.355523	2022-01-01
1	1.5413754	21.75	121.25	0.22583336	1.2682345	2022-01-01
1	1.5413754	21.75	121.5	0.21363495	1.2445964	2022-01-01
1	1.5413754	21.75	121.75	0.28655925	1.4151068	2022-01-01
1	1.5413754	21.75	122.0	0.32960466	1.4921291	2022-01-01
