depth	latitude	longitude	chl	phyc	time
0.49402538	23.5	119.5	0.12514952	0.5878978	2021-10-01
0.49402538	23.5	119.75	0.09358132	0.38437593	2021-10-01
0.49402538	23.5	120.0	0.12189588	0.6485752	2021-10-01
0.49402538	23.5	121.75	0.052799325	0.30118543	2021-10-01
0.49402538	23.5	122.0	0.060512047	0.3405348	2021-10-01
0.49402538	23.5	122.25	0.052918326	0.32187	2021-10-01
0.49402538	23.5	122.5	0.037353285	0.27012494	2021-10-01
0.49402538	23.5	122.75	0.024986878	0.22337495	2021-10-01
0.49402538	23.5	123.0	0.018095074	0.19397575	2021-10-01
0.49402538	23.75	119.25	0.1246896	0.46749514	2021-10-01
0.49402538	23.75	119.5	0.17468607	0.6816032	2021-10-01
0.49402538	23.75	119.75	0.2130816	0.77389544	2021-10-01
0.49402538	23.75	120.0	0.18329492	0.8689711	2021-10-01
0.49402538	23.75	121.75	0.04518634	0.26052725	2021-10-01
0.49402538	23.75	122.0	0.057803705	0.319063	2021-10-01
0.49402538	23.75	122.25	0.053373568	0.31121567	2021-10-01
0.49402538	23.75	122.5	0.039044447	0.27277422	2021-10-01
0.49402538	23.75	122.75	0.027918715	0.23059963	2021-10-01
0.49402538	23.75	123.0	0.021416921	0.20316212	2021-10-01
0.49402538	24.0	119.25	0.16099715	0.61432374	2021-10-01
0.49402538	24.0	119.5	0.24063052	0.9433066	2021-10-01
0.49402538	24.0	119.75	0.26781514	1.0737215	2021-10-01
0.49402538	24.0	120.0	0.24400695	1.0094144	2021-10-01
0.49402538	24.0	120.25	0.19776532	0.94499075	2021-10-01
0.49402538	24.0	121.75	0.0431223	0.23065212	2021-10-01
0.49402538	24.0	122.0	0.05314525	0.2861901	2021-10-01
0.49402538	24.0	122.25	0.052639477	0.29285297	2021-10-01
0.49402538	24.0	122.5	0.040697612	0.26663297	2021-10-01
0.49402538	24.0	122.75	0.028439868	0.22847256	2021-10-01
0.49402538	24.0	123.0	0.020549584	0.19889273	2021-10-01
0.49402538	24.25	119.25	0.21618953	0.76229644	2021-10-01
0.49402538	24.25	119.5	0.21268687	0.8638729	2021-10-01
0.49402538	24.25	119.75	0.19179046	0.80733156	2021-10-01
0.49402538	24.25	120.0	0.2129882	0.8880305	2021-10-01
0.49402538	24.25	120.25	0.1944885	0.833487	2021-10-01
0.49402538	24.25	121.75	0.05990809	0.26323786	2021-10-01
0.49402538	24.25	122.0	0.055086397	0.26721308	2021-10-01
0.49402538	24.25	122.25	0.053274613	0.27634543	2021-10-01
0.49402538	24.25	122.5	0.042121	0.2574109	2021-10-01
0.49402538	24.25	122.75	0.026832957	0.21369192	2021-10-01
0.49402538	24.25	123.0	0.021140534	0.18524982	2021-10-01
0.49402538	24.5	119.25	0.2722398	0.86136454	2021-10-01
0.49402538	24.5	119.5	0.26558104	0.8789729	2021-10-01
0.49402538	24.5	119.75	0.25158763	0.87113583	2021-10-01
0.49402538	24.5	120.0	0.24599788	0.8349292	2021-10-01
0.49402538	24.5	120.25	0.22040813	0.7921881	2021-10-01
0.49402538	24.5	120.5	0.18892941	0.7562269	2021-10-01
0.49402538	24.5	122.0	0.06047027	0.2777221	2021-10-01
0.49402538	24.5	122.25	0.054154858	0.26472843	2021-10-01
0.49402538	24.5	122.5	0.0449276	0.24895562	2021-10-01
0.49402538	24.5	122.75	0.029193738	0.2137484	2021-10-01
0.49402538	24.5	123.0	0.023626795	0.1908902	2021-10-01
0.49402538	24.75	119.25	0.2507458	0.9431874	2021-10-01
0.49402538	24.75	119.5	0.25910404	0.85530305	2021-10-01
0.49402538	24.75	119.75	0.26921827	0.8714131	2021-10-01
0.49402538	24.75	120.0	0.2197825	0.7844979	2021-10-01
0.49402538	24.75	120.25	0.2467607	0.8138704	2021-10-01
0.49402538	24.75	120.5	0.24910405	0.8074614	2021-10-01
0.49402538	24.75	120.75	0.24420632	0.8825563	2021-10-01
0.49402538	24.75	122.0	0.06546427	0.29116732	2021-10-01
0.49402538	24.75	122.25	0.055349164	0.25893486	2021-10-01
0.49402538	24.75	122.5	0.049618777	0.24646845	2021-10-01
0.49402538	24.75	122.75	0.03793434	0.22465119	2021-10-01
0.49402538	24.75	123.0	0.032579977	0.20934962	2021-10-01
0.49402538	25.0	119.25	0.26161605	1.2015507	2021-10-01
0.49402538	25.0	119.5	0.2180483	0.9007679	2021-10-01
0.49402538	25.0	119.75	0.21761072	0.80050004	2021-10-01
0.49402538	25.0	120.0	0.19794458	0.7229476	2021-10-01
0.49402538	25.0	120.25	0.21997638	0.77068794	2021-10-01
0.49402538	25.0	120.5	0.25720525	0.80007386	2021-10-01
0.49402538	25.0	120.75	0.24497196	0.782026	2021-10-01
0.49402538	25.0	122.0	0.06942144	0.2974864	2021-10-01
0.49402538	25.0	122.25	0.05704196	0.2537741	2021-10-01
0.49402538	25.0	122.5	0.05294232	0.24277145	2021-10-01
0.49402538	25.0	122.75	0.04818004	0.23326999	2021-10-01
0.49402538	25.0	123.0	0.04583688	0.22980697	2021-10-01
0.49402538	25.25	119.25	0.31702214	1.5608659	2021-10-01
