depth	latitude	longitude	nppv	o2	time
0.49402538	23.25	120.0	3.5809586	33.172783	2021-10-01
0.49402538	23.25	121.5	2.1771903	32.72678	2021-10-01
0.49402538	23.25	121.75	3.1261027	32.791904	2021-10-01
0.49402538	23.25	122.0	3.035965	32.802826	2021-10-01
0.49402538	23.25	122.25	2.0618522	32.725845	2021-10-01
0.49402538	23.25	122.5	1.017871	32.60073	2021-10-01
0.49402538	23.25	122.75	0.55964625	32.49681	2021-10-01
0.49402538	23.25	123.0	0.5104073	32.436047	2021-10-01
0.49402538	23.5	119.25	4.541415	33.250717	2021-10-01
0.49402538	23.5	119.5	2.915378	33.185577	2021-10-01
0.49402538	23.5	119.75	4.654755	32.99455	2021-10-01
0.49402538	23.5	120.0	6.8100815	33.50637	2021-10-01
0.49402538	23.5	121.75	2.9012914	32.782562	2021-10-01
0.49402538	23.5	122.0	3.0689242	32.829254	2021-10-01
0.49402538	23.5	122.25	2.1864052	32.794376	2021-10-01
0.49402538	23.5	122.5	1.2162147	32.695755	2021-10-01
0.49402538	23.5	122.75	0.7198117	32.60101	2021-10-01
0.49402538	23.5	123.0	0.56730187	32.53159	2021-10-01
0.49402538	23.75	119.25	5.9333286	33.267513	2021-10-01
0.49402538	23.75	119.5	5.781253	33.377808	2021-10-01
0.49402538	23.75	119.75	10.236313	33.3568	2021-10-01
0.49402538	23.75	120.0	8.717617	34.06362	2021-10-01
0.49402538	23.75	121.75	2.4760025	32.75839	2021-10-01
0.49402538	23.75	122.0	2.9942513	32.839108	2021-10-01
0.49402538	23.75	122.25	2.2428942	32.831005	2021-10-01
0.49402538	23.75	122.5	1.3469124	32.763702	2021-10-01
0.49402538	23.75	122.75	0.8461267	32.687958	2021-10-01
0.49402538	23.75	123.0	0.6347662	32.6329	2021-10-01
0.49402538	24.0	119.25	6.343149	33.55806	2021-10-01
0.49402538	24.0	119.5	9.532918	33.915886	2021-10-01
0.49402538	24.0	119.75	11.424909	34.028465	2021-10-01
0.49402538	24.0	120.0	9.664064	34.183716	2021-10-01
0.49402538	24.0	120.25	10.389653	34.186264	2021-10-01
0.49402538	24.0	121.75	2.6876054	32.758606	2021-10-01
0.49402538	24.0	122.0	2.7859223	32.838036	2021-10-01
0.49402538	24.0	122.25	2.3249915	32.83772	2021-10-01
0.49402538	24.0	122.5	1.545903	32.80429	2021-10-01
0.49402538	24.0	122.75	0.9215256	32.749283	2021-10-01
0.49402538	24.0	123.0	0.6314533	32.670677	2021-10-01
0.49402538	24.25	119.25	7.217812	33.72089	2021-10-01
0.49402538	24.25	119.5	8.84025	34.16474	2021-10-01
0.49402538	24.25	119.75	8.275695	34.22464	2021-10-01
0.49402538	24.25	120.0	8.830356	34.18943	2021-10-01
0.49402538	24.25	120.25	8.040093	34.130478	2021-10-01
0.49402538	24.25	121.75	3.3910742	32.769535	2021-10-01
0.49402538	24.25	122.0	3.081471	32.825478	2021-10-01
0.49402538	24.25	122.25	2.4912128	32.843697	2021-10-01
0.49402538	24.25	122.5	1.720381	32.827328	2021-10-01
0.49402538	24.25	122.75	0.90881443	32.752422	2021-10-01
0.49402538	24.25	123.0	0.72130656	32.70621	2021-10-01
0.49402538	24.5	119.25	7.9993114	33.91839	2021-10-01
0.49402538	24.5	119.5	8.643165	33.952385	2021-10-01
0.49402538	24.5	119.75	8.787767	34.171474	2021-10-01
0.49402538	24.5	120.0	8.011055	34.26993	2021-10-01
0.49402538	24.5	120.25	8.0417385	34.215675	2021-10-01
0.49402538	24.5	120.5	7.9026804	34.08308	2021-10-01
0.49402538	24.5	122.0	3.5768037	32.835003	2021-10-01
0.49402538	24.5	122.25	2.597153	32.855453	2021-10-01
0.49402538	24.5	122.5	1.8892429	32.8444	2021-10-01
0.49402538	24.5	122.75	0.9924371	32.773155	2021-10-01
0.49402538	24.5	123.0	0.7867009	32.750175	2021-10-01
0.49402538	24.75	119.25	8.906278	35.161205	2021-10-01
0.49402538	24.75	119.5	8.011089	34.281918	2021-10-01
0.49402538	24.75	119.75	8.289327	34.185253	2021-10-01
0.49402538	24.75	120.0	7.028946	34.360336	2021-10-01
0.49402538	24.75	120.25	8.192865	34.280304	2021-10-01
0.49402538	24.75	120.5	8.768635	34.073017	2021-10-01
0.49402538	24.75	120.75	9.629527	34.109127	2021-10-01
0.49402538	24.75	122.0	3.5707877	32.886875	2021-10-01
0.49402538	24.75	122.25	2.8045306	32.873466	2021-10-01
0.49402538	24.75	122.5	2.2504127	32.860428	2021-10-01
0.49402538	24.75	122.75	1.522686	32.80883	2021-10-01
0.49402538	24.75	123.0	1.317471	32.79935	2021-10-01
0.49402538	25.0	119.25	9.780547	36.23125	2021-10-01
0.49402538	25.0	119.5	7.351589	35.485176	2021-10-01
0.49402538	25.0	119.75	6.799053	34.762955	2021-10-01
0.49402538	25.0	120.0	6.4833617	34.45635	2021-10-01
0.49402538	25.0	120.25	6.911108	34.461132	2021-10-01
0.49402538	25.0	120.5	8.109391	34.21927	2021-10-01
0.49402538	25.0	120.75	6.9471016	34.11278	2021-10-01
0.49402538	25.0	122.0	3.6290345	32.974915	2021-10-01
0.49402538	25.0	122.25	3.0235682	32.90306	2021-10-01
0.49402538	25.0	122.5	2.5185218	32.8864	2021-10-01
0.49402538	25.0	122.75	2.2878404	32.84934	2021-10-01
0.49402538	25.0	123.0	2.1261694	32.84096	2021-10-01
0.49402538	25.25	119.25	10.037037	36.454586	2021-10-01
0.49402538	25.25	119.5	9.434396	36.249462	2021-10-01
0.49402538	25.25	119.75	8.67406	35.62145	2021-10-01
0.49402538	25.25	120.0	5.7206745	34.885796	2021-10-01
0.49402538	25.25	120.25	4.9927816	34.834324	2021-10-01
0.49402538	25.25	120.5	6.61138	34.58993	2021-10-01
0.49402538	25.25	120.75	6.3201733	34.070824	2021-10-01
0.49402538	25.25	121.0	6.045329	34.135273	2021-10-01
0.49402538	25.25	121.25	6.641443	34.159847	2021-10-01
0.49402538	25.25	121.5	3.445084	33.691982	2021-10-01
0.49402538	25.25	121.75	3.2767243	33.22756	2021-10-01
0.49402538	25.25	122.0	3.7607706	33.033054	2021-10-01
0.49402538	25.25	122.25	3.1905248	32.94244	2021-10-01
0.49402538	25.25	122.5	2.924507	32.95158	2021-10-01
0.49402538	25.25	122.75	2.9207797	32.934444	2021-10-01
0.49402538	25.25	123.0	2.865282	32.922573	2021-10-01
0.49402538	25.5	119.75	10.072985	36.377773	2021-10-01
0.49402538	25.5	120.0	6.1784863	35.5744	2021-10-01
0.49402538	25.5	120.25	5.2132325	35.253246	2021-10-01
0.49402538	25.5	120.5	6.0926814	34.77505	2021-10-01
0.49402538	25.5	120.75	5.8453727	34.100998	2021-10-01
0.49402538	25.5	121.0	5.123532	34.17106	2021-10-01
0.49402538	25.5	121.25	5.532183	34.3106	2021-10-01
0.49402538	25.5	121.5	5.0059404	33.73919	2021-10-01
0.49402538	25.5	121.75	3.7523184	33.16239	2021-10-01
0.49402538	25.5	122.0	3.5269477	33.05497	2021-10-01
0.49402538	25.5	122.25	3.0657272	33.01143	2021-10-01
0.49402538	25.5	122.5	3.0210943	33.011444	2021-10-01
0.49402538	25.5	122.75	3.1288953	32.99509	2021-10-01
0.49402538	25.5	123.0	3.1943574	32.979465	2021-10-01
1.5413754	21.75	119.25	1.2595093	32.59341	2021-10-01
1.5413754	21.75	119.5	1.2378048	32.546886	2021-10-01
